Places,Location,Category,Likes_oount
Nuvo Lounge,Anambra,Club,0
Soho Restaurant,Lagos,Restaurant,0
Uptown Bar and Restaurant,Lagos,Lounge,0
Voyage Restaurant,Lagos,Restaurant,0
Silver Lounge,Akwa Ibom,Lounge,1
The Grillroom,Lagos,Restaurant,0
"Crunchies Fried Chicken, Owerri",Imo,Restaurant,0
Sir Ahmadu Bello International Airport,Kebbi,Airport,0
Ilorin International Airport,Kwara,Airport,0
"Crunchies Fried Chicken, Enugu",Enugu,Restaurant,315
"Wind Lounge, Lekki",Lagos,Lounge,0
"Best Bite Restaurant, Elelewon",Rivers,Restaurant,472
"Charcoal and Spice, Portharcourt",Rivers,Restaurant,365
"Crunchies Fried Chicken, Calabar 1",Cross River,Restaurant,0
"Spice Route, Port Harcourt",Rivers,Restaurant,187
"Crunchies Fried Chicken, Onitsha",Anambra,Restaurant,0
"Crunchies Fried Chicken, Asaba",Delta,Restaurant,0
Aztech Arcum,Rivers,Hall,461
"Nigerian Law School, Lagos",Lagos,School,0
Exodus Café,Rivers,Hall,307
"Beer Barn, Abuja",Abuja,Lounge,0
"Genesis Sky Bar, Port Harcourt",Rivers,Lounge,433
"Beer Barn, Port Harcourt",Rivers,Lounge,221
Yakubu Gowon Stadium,Rivers,Sport arena,851
Sakura,Lagos,Restaurant,0
The Lash Lounge,Lagos,Lounge,0
Lihao Chinese Cuisine,Lagos,Restaurant,0
Carlito's Grill/Tabu Ultra Lounge,Lagos,Restaurant,0
The Grasshopper Place,Lagos,Club,0
Swiss Park Bar,Lagos,Lounge,0
Abia State University,Abia,University,0
Holy Family Catholic Church,Lagos,Place of worship,0
Pearl Harbour Nite Club,Lagos,Club,0
Roppongi Lounge,Lagos,Lounge,0
NECOM House,Lagos,Building,0
Union Bank Building,Lagos,Building,0
"Post Office, FESTAC",Lagos,Building,0
"World Trade Center, Abuja",Abuja,Monument,0
Ministry of Communication Buliding,Lagos,Building,0
TFC Place,Lagos,Restaurant,0
Independence House,Lagos,Building,0
Joseph Ayo Babalola University,Osun,University,0
"Central Bank of Nigeria, Lagos",Lagos,Building,0
Great Nigeria House,Lagos,Building,0
Akwa Ibom State University,Akwa Ibom,University,3
Calabar City Church,Cross River,Place of worship,0
Eko Court Complex,Lagos,Building,0
Abubakar Tafawa Balewa University,Bauchi,University,1
"The Brook Church, Calabar",Cross River,Place of worship,0
Nigeria Stock Exchange,Lagos,Building,0
UBA House,Lagos,Building,1
"The Brook Church, Owerri",Imo,Place of worship,0
Bull Plaza,Lagos,Building,0
Achievers University,Ondo,University,0
Al-Hikmah University,Kwara,University,0
Eagle House,Lagos,Building,0
The Regent Secondary School,Abuja,School,0
Nestoil Towers,Lagos,Building,0
Chukwuemeka Odumegwu Ojukwu University,Anambra,University,1
Bloombreed High School,Rivers,School,268
Afribank Plaza,Lagos,Building,0
Lead British International School,Abuja,School,0
Norwegian International School,Rivers,School,384
Ajayi Crowther University,Oyo,University,1
Zenith Heights,Lagos,Building,0
Wema Towers,Lagos,Building,0
"Nigerian Turkish International College, Abuja",Abuja,School,1
Bayero University,Kano,University,0
"Freeman House, Lagos",Lagos,Building,0
Greenoak Secondary School,Rivers,School,326
Unity House,Lagos,Building,0
Sterling Towers,Lagos,Building,0
Bells University of Technology,Ogun,University,0
Eleganza Building,Lagos,Building,0
NICON House,Lagos,Building,0
International Community School,Abuja,School,0
Benson Idahosa University,Edo,University,0
Financial Trust House,Lagos,Building,0
Kanti Tower,Lagos,Building,0
"Benue State University, Makurdi",Benue,University,0
Charles Dale Memorial International School,Rivers,School,299
FF Millennium Towers,Lagos,Building,0
Bingham University,Nassarawa,University,0
King's College,Lagos,College,0
Standard Chartered Building,Lagos,Building,0
Bookshop House,Lagos,Building,0
Yobe State University,Yobe,University,0
Atlantic Hall,Lagos,College,0
Yinka Folawiyo Plaza,Lagos,Building,0
Stallion Plaza,Lagos,Building,0
Lapal House,Lagos,Building,0
Federal Secretariat Bulidings,Lagos,Government Building,0
Loyola Jesuit College,Abuja,School,0
Grange School,Lagos,College,0
"Christ The King College, Onitsha",Anambra,School,0
Lekki British School,Lagos,College,0
CETEP City University,Lagos,University,0
British International School,Lagos,College,0
Day Waterman College,Ogun,School,1
National Open University of Nigeria,Lagos,University,0
Vivian Fowler Memorial College for Girls,Lagos,College,0
"Leila Tower, Victoria Island",Lagos,Building,0
Sapetro Tower,Lagos,Building,0
Lumen Christi International High School,Edo,School,0
Crawford University (Ekiti),Ekiti,University,2
Olashore International School,Osun,School,0
Senate House,Lagos,Building,0
Crescent University,Ogun,University,0
St Gregory's College,Lagos,College,0
"Mulliner Towers, Ikoyi",Lagos,Building,0
Cross River University of Technology,Cross River,University,0
Eric Moore Towers,Lagos,Building,0
Bar Beach Towers,Lagos,Building,0
"Awolowo Towers, Ikoyi",Lagos,Building,0
Alagbon Towers,Lagos,Building,0
Capital Science Academy,Abuja,School,0
"Greensprings School, Anthony",Lagos,School,0
"Greensprings School, Lekki",Lagos,School,0
"Delta State University, Abraka",Delta,University,1
Bank of Industry,Abuja,Government Building,0
Federal Secretariat Complex,Abuja,Government Building,0
Petroleum Products Pricing Regulatory Agency,Abuja,Government Building,0
Avi-Cenna International School,Lagos,School,0
Adesoye College,Kwara,College,0
Queen's College,Lagos,School,0
"Federal High Court, Abuja",Abuja,Court,0
Heritage Place,Lagos,Building,0
Diamond Bank Building,Lagos,Building,0
Whitesands School,Lagos,School,0
Guarantee Trust Bank Building,Lagos,Building,0
Ronik Comprehensive School,Lagos,School,1
Eko Tower,Lagos,Building,0
Obatala Centre for Creative Arts,Osun,Art gallery,0
Truview Art and Frames Gallery,Lagos,Art gallery,0
Eniobanke Art Center,Lagos,Art gallery,0
Abstract Strokes Gallery,Lagos,Art gallery,0
African Foundation for the Arts,Lagos,Building,0
Baroyet Art Studio and Gallery,Lagos,Art gallery,0
Habitude Gallery,Lagos,Art gallery,0
Framemaster Art Gallery,Lagos,Art gallery,0
Henrimoweta African Art Gallery,Lagos,Art gallery,0
Hourglass Art Gallery,Lagos,Art gallery,0
"Kongi's Harvest, Lagos",Lagos,Art gallery,0
Nkem Gallery,Lagos,Art gallery,0
Ovuomaroro Gallery,Lagos,Art gallery,0
Quintessence Gallery,Lagos,Art gallery,0
Sach's Gallery,Lagos,Art gallery,0
Signature Gallery,Lagos,Art gallery,0
Strip of Gaza Gallery,Lagos,Art gallery,0
Treasurehouse Fine Arts Gallery,Lagos,Art gallery,0
Tribes Art Africa Gallery,Lagos,Art gallery,0
"Wangboye's Art Gallery, Ikoyi",Lagos,Art gallery,0
Watersworth Gallery,Lagos,Art gallery,0
"National Library of Nigeria, Lagos",Lagos,Library,0
Zaccheus Onumba Dibiaezue Memorial Libraries,Lagos,Library,0
Badagry Divisional Library,Lagos,Library,0
Fola Sasegbon Memorial (Law) Library,Lagos,Library,0
Henry Carr Public Library,Lagos,Library,0
Ikorodu Divisional Library,Lagos,Library,0
Lagos Book Club,Lagos,Club,0
Federal Teaching Hospital Abakiliki (FETHA),Ebonyi,Hospital,0
Lagos State Library Board,Lagos,Library,0
Elizade University,Ondo,University,1
Lifeforte International School,Oyo,School,5
"Legislative Library, Lagos",Lagos,Library,0
Strexfree Library,Lagos,Library,0
"Tolu Public Library, Ajegunle",Lagos,Library,0
Fountain University,Osun,University,0
"Silverbird Cinema, Uyo",Akwa Ibom,Cinema Hall,0
"Federal University, Dutsin-Ma",Katsina,University,2
"Silverbird Cinemas, Port Harcourt",Rivers,Cinema Hall,2862
"Silverbird Cinemas, Festac",Lagos,Cinema Hall,0
"National Library of Nigeria, Ondo",Ondo,Library,0
Gregory University,Abia,University,2
"Genesis Deluxe Cinemas, Abuja",Abuja,Cinema Hall,0
"National Library of Nigeria, Abuja",Abuja,Library,0
Ilupeju Pubic Library,Lagos,Library,0
"National Library of Nigeria, Enugu",Enugu,Library,265
"QDance Center, Ikoyi",Lagos,School,0
Enugu State Library,Enugu,Library,196
"National Library of Nigeria, Kaduna",Kaduna,Library,49
Redeemed Christian Church of God Camp,Ogun,Place of worship,0
Mountain of Fire and Miracles Prayer City,Ogun,Place of worship,1
Oduduwa University,Osun,University,0
Taraba State University,Taraba,University,9
Deeper Life Bible Church,Lagos,Place of worship,0
Gbagada General Hospital,Lagos,Hospital,158
Veritas University,Abuja,University,2
The Latter Rain Assembly,Lagos,Place of worship,0
The Redeemed Evangelical Mission,Lagos,Place of worship,0
The Fountain of Life Church,Lagos,Place of worship,0
"Corona Secondary School, Agbara",Ogun,School,0
Dowen College,Lagos,School,0
"Chrisland College, Idimu",Lagos,College,0
Meadow Hall College,Lagos,College,0
American International School Lagos,Lagos,College,220
CMS Grammar School,Lagos,College,0
Methodist Boys High School,Lagos,College,0
Methodist Girls High School,Lagos,College,0
Ozone Cinemas,Lagos,Cinema Hall,0
Igbobi College,Lagos,College,0
"Barewa College, Zaria",Kaduna,School,0
Lagos Baptist Academy,Lagos,College,0
Holy Rosary College,Enugu,School,229
Ijebu-Ode Grammar School,Ogun,School,0
Light Way Secondary School,Cross River,School,87
"Police Secondary School, Calabar",Cross River,School,2
"Police Secondary School, Minna",Niger,School,2
"Police Girls Secondary School, Shanogo-Kano",Kano,School,0
"Police Secondary School, Akure",Ondo,School,0
Kaduna State Library,Kaduna,Library,1
Kwara State Library,Kwara,Library,1
African Heritage Research Library and Cultural Center,Oyo,Library,0
Anambra State Library,Anambra,Library,0
Keneth Dike Memorial Library,Anambra,Library,0
Bauchi State Library,Bauchi,Library,0
Bayelsa State Library,Bayelsa,Library,0
"Borno House Library, Lagos",Lagos,Library,0
Cross River State Library,Cross River,Library,0
Edo State Library,Edo,Library,0
Goethe Institute Library,Lagos,School,0
Ilupeju Public Library,Lagos,Library,0
Imo State Library,Imo,Library,0
Ipaja Public Library,Lagos,Library,0
Isolo Public Library,Lagos,Library,1
"Murtala Muhammed Library, Kano",Kano,Library,0
Lagos State e-Learning Centre,Lagos,Library,0
"National Libary, Calabar",Cross River,Library,0
"National Library of Nigeria, Kwara",Kwara,Library,0
Simeon Adebo Library,Ogun,Hospital,0
"National Library of Nigeria, Ogun",Ogun,Hospital,135
Ondo State Library,Ondo,Library,0
Oyo State Library,Oyo,Library,0
Plateau State Library,Plateau,Library,0
Okrika Cenral Library,Rivers,Library,0
"National Library of Nigeria, Jos",Plateau,Library,0
Stella Obasanjo Library,Kogi,Library,0
Beautiful Minds Children’s Library,Benue,Library,0
Aaragon Gallery,Lagos,Art gallery,0
Abuja Council for Arts,Abuja,Art gallery,0
Afrikraft Art and Kraft,Lagos,Art gallery,0
Arthouse Contemporary Limited,Lagos,Art gallery,0
Artistic Licence,Lagos,Art gallery,0
Artsville,Lagos,Art gallery,0
B and C Art Gallery (Craft Shop),Lagos,Art gallery,0
Branold Inspiration,Abuja,,0
Bwari Pottery Village,Abuja,Cultural centre,0
Cabana Chef Art Shop,Abuja,Art gallery,0
Calabash Creations By Hajjo,Abuja,Cultural centre,0
Centre for Contemporary Arts,Lagos,Art gallery,0
Chess Board Galleries,Abuja,Open arena,0
"Colours-in-Africa, Ibadan",Oyo,Shop,0
"Colours-in-Africa, Ibadan 2",Oyo,Shop,0
"Colours-in-Africa, Lagos",Lagos,Art gallery,0
Corinthians Furniture,Lagos,Art gallery,0
Crafties Hobbycraft,Lagos,Art gallery,0
"Crafties Hobbycraft, Ogba",Lagos,Art gallery,0
"Crafties Hobbycraft, Victoria Island",Lagos,Art gallery,0
Cypart Craft,Lagos,Art gallery,0
Edge Studio,Lagos,Art gallery,0
Giftz Galore,Kaduna,,0
Ifedidrama Art Materials,Abuja,Art gallery,0
Invisible Borders,Lagos,Art gallery,0
Mbonu-Emerem Museum of Art,Abia,Museum,0
Mmili Mma Gallery,Lagos,Art gallery,0
"National Gallery of Art, Abakaliki",Ebonyi,Art gallery,0
"National Gallery of Art, Abeokuta",Ogun,Art gallery,0
"National Gallery of Art, Bauchi",Bauchi,Art gallery,0
"National Gallery of Art, Benin",Edo,Art gallery,0
"National Gallery of Art, Anambra",Anambra,Art gallery,0
"National Gallery of Art, Jos",Plateau,Art gallery,0
"National Gallery of Art, Kaduna",Kaduna,Art gallery,0
"National Gallery of Art, Kano",Kano,Art gallery,0
"National Gallery of Art, Lafia",Nassarawa,Art gallery,0
"National Gallery of Art, Lagos",Lagos,Art gallery,0
"National Gallery of Art, Maiduguri",Borno,Art gallery,0
"National Gallery of Art, Makurdi",Benue,Art gallery,0
"National Gallery of Art, Minna",Niger,Art gallery,0
"National Gallery of Art, Oshogbo",Osun,Art gallery,0
"National Gallery of Art, Port Harcourt",Rivers,Art gallery,27
"National Gallery of Art, Sokoto",Sokoto,Art gallery,0
"National Gallery of Art, Umuahia",Abia,Art gallery,0
"National Gallery of Art, Uyo",Akwa Ibom,Art gallery,0
"National Gallery of Art, Zamfara",Zamfara,Art gallery,0
Adekunle Ajasin University,Ondo,University,0
Enugu State University of Science and Technology,Enugu,University,36
"Federal University, Birnin Kebbi",Kebbi,University,0
Federal University Gashua,Yobe,University,0
Federal University of Petroleum Resources Effurun,Delta,University,0
Federal University of Technology Minna,Niger,University,0
Federal University of Technology Owerri,Imo,University,0
Ibrahim Badamasi Babangida University,Niger,University,0
Imo State University,Imo,University,0
Kaduna State University,Kaduna,University,0
Kogi State University,Kogi,University,4
Kwara State University,Kwara,University,0
Ladoke Akintola University of Technology,Oyo,University,0
Michael Okpara University of Agriculture,Abia,University,1
"Nasarawa State University, Keffi",Nassarawa,University,0
Niger Delta University,Bayelsa,University,1
"Nigerian Defence Academy, Kaduna",Kaduna,College,0
Nnamdi Azikiwe University,Anambra,University,2
Novena University,Delta,University,0
Obong University,Akwa Ibom,University,0
Osun State University,Osun,University,0
Paul University,Anambra,University,0
Ritman University,Akwa Ibom,University,0
Rivers State University of Science and Technology,Rivers,University,1027
Salem International University,Kogi,University,0
Samuel Adegboyega University,Edo,University,0
"Genesis Deluxe Cinemas, Delta",Delta,Cinema Hall,0
Tai Solarin University of Education,Ogun,University,0
University of Abuja,Abuja,University,3
Ekiti State University,Ekiti,University,2
"Federal University of Agriculture, Abeokuta",Ogun,University,0
Alliance Française Ibadan,Oyo,Cultural centre,0
Alliance Française Lagos,Lagos,School,0
Alliance Française Kaduna,Kaduna,Cultural centre,0
Alliance Française Ilorin,Kwara,Cultural centre,1
Alliance Française Kano,Kano,Cultural centre,0
Alliance Française Enugu,Enugu,Cultural centre,189
Alliance Française Port Harcourt,Rivers,Cultural centre,376
Alliance Française Maiduguri,Borno,Cultural centre,0
Alliance Française Jos,Plateau,Cultural centre,0
Alliance Française Owerri,Imo,School,0
Alvan Ikoku Federal College of Education,Imo,School,0
Archbishop Vining Memorial Church Cathedral,Lagos,Place of worship,0
"British Council, Kano",Kano,Government Building,1
"British Council, Abuja",Abuja,Government Building,563
"British Council, Port Harcourt",Rivers,Cultural centre,420
"British Council, Lagos",Lagos,Government Building,0
University of Mkar,Benue,University,0
University of Uyo,Akwa Ibom,University,1
Korean Cultural Center,Abuja,Cultural centre,0
Joseph Gomwalk House,Plateau,,0
Nettatal Ambiente,Abuja,,0
Usmanu Danfodiyo University,Sokoto,University,0
Wesley University of Science and Technology,Ondo,University,0
Western Delta University,Delta,University,16
First Cardiology Consultants,Lagos,Hospital,159
Nike Art Gallery and Workshops,Abuja,Art gallery,0
Bingham University Teaching Hospital,Plateau,Hospital,126
Nike Centre for Art and Culture,Osun,Art gallery,0
University of Jos Teaching Hospital,Plateau,Hospital,0
Octopus Cinema Hall,Plateau,Cinema Hall,0
Samuel Ogbemudia Stadium,Edo,Sport arena,0
Ebohon Cultural Centre,Edo,Cultural centre,0
Liberation Stadium,Rivers,Sport arena,0
Oba Akenzua Cultural Centre,Edo,Cultural centre,0
Xscape Center,Rivers,Mall,463
"Kilmanjaro, Rivers",Rivers,,0
Holy Aruosa Cathedral,Edo,Place of worship,0
Ponyx Hospital,Rivers,Hospital,214
Godswill Akpabio International Stadium,Akwa Ibom,,0
Sani Abacha Stadium,Kano,Sport arena,0
Igun-Eronmwon Quarters,Edo,Monument,419
Nnamdi Azikiwe Stadium,Enugu,Sport arena,216
Otunba Dipo Dina International Stadium,Ogun,Sport arena,0
Chinese Cultural Centre,Abuja,Cultural centre,0
Kwara State Football Academy,Kwara,School,0
Lekan Salami Stadium,Oyo,Sport arena,0
Ethnic Heritage Centre,Lagos,Cultural centre,0
Sapele Stadium,Delta,Sport arena,1
Cyprian Ekwensi Center for Arts and Culture,Abuja,Cultural centre,17
Obiagu Arts Center,Abuja,Art gallery,0
National Council for Arts and Culture,Abuja,Cultural centre,0
Organized Craftmanships,Abuja,,0
Simplicity Craft Academy,Lagos,Art gallery,0
Ilaro Stadium,Ogun,Sport arena,0
Abubakar Umar Memorial Stadium,Gombe,Sport arena,0
Soka Crafts,Abuja,,0
Dan Anyiam Stadium,Imo,Sport arena,0
Imo Fire Service,Imo,Government Building,0
Torch of Africa,Abuja,,0
West African Examination Council,Imo,Government Building,0
Lufodo Academy of Performing Arts,Lagos,College,0
Fashion,Lagos,,0
Skippers Fast Food,Rivers,Restaurant,244
Shoprite Owerri Mall,Imo,Mall,0
Maestro Academy of Music,Lagos,College,0
Collins Karate Network,Lagos,,0
Okigwe park,Imo,Park,0
Umezuriike Hospital,Imo,Hospital,136
The Promise Fast Food,Rivers,Restaurant,302
Sizzler's Fast Food,Rivers,Restaurant,465
"Everyday Supermarket, GRA",Rivers,Shop,456
Del-York International,Lagos,School,0
Pefti Film Institute,Lagos,School,3
"Nigerian Law School, Enugu",Enugu,College,284
Disciples Film and Television Institute,Lagos,School,0
"Nigerian Law School, Abuja",Abuja,School,0
"Everyday Supermarket, Rumola",Rivers,Shop,404
Phinnys Talent Studio,Lagos,School,0
Negro Art Gallery,Lagos,Art gallery,0
Baze University,Abuja,University,0
National Space Development and Research Agency,Abuja,Government Building,0
University of Abuja Teaching Hospital,Abuja,Hospital,119
Eyes-Rite Clinic,Lagos,Hospital,0
"Everyday Supermarket, Aba Road",Rivers,Shop,424
Umaru Shehu General Hospital,Borno,Hospital,158
HobbyHub Art Studio,Lagos,Art gallery,0
"Everyday Supermarket, Owerri",Imo,Shop,0
Young at Art,Lagos,Art gallery,0
Fayemz Art,Lagos,Art gallery,0
Osogbo Stadium,Osun,Sport arena,7
Center for Black and African Arts and Civilization,Lagos,Cultural centre,0
"Federal Neuro-Psychiatric Hospital, Yaba",Lagos,Hospital,164
Kaduna Township Stadium,Kaduna,Sport arena,7
Artelle Creations,Lagos,Art gallery,0
Sharks Stadium,Rivers,Sport arena,327
Nnpc Zonal Hospital,Rivers,Hospital,0
"Our Lady of Apostles Secondary School, Yaba",Lagos,College,4
Young Starz Of Afrika Arts Academy,Lagos,School,0
Samafric,Cross River,,0
Oxbridge Tutorial College,Lagos,College,0
Katsina Township Stadium,Katsina,Sport arena,3
Etta Decor,Abuja,,0
Oghara Township Stadium,Delta,Sport arena,0
Adeniran Ogunsanya College of Education,Lagos,College,1
Old Parade Ground,Abuja,Sport arena,0
Ughelli Township Stadium,Delta,Sport arena,0
Yaba College of Technology,Lagos,College,0
Samson Siasia Stadium,Bayelsa,Sport arena,0
House of Tara,Lagos,School,0
"House of Tara, Abuja",Abuja,School,0
"House of Tara, Uyo",Akwa Ibom,Shop,0
Apostolic Faith Secondary School,Lagos,College,0
"House of Tara, Asaba",Delta,School,0
Stamford Pharmacy,Bayelsa,Pharmacy,0
"House of Tara, Benin",Edo,Salon,0
Bridge House College,Lagos,College,0
"House of Tara, Enugu",Enugu,School,0
"House of Tara, Kaduna",Kaduna,School,0
"House of Tara, Kano",Kano,School,0
"House of Tara, Ilorin",Kwara,School,0
Rainbow College,Ogun,School,0
"House of Tara, Ibadan",Oyo,School,0
Halifield Schools,Lagos,College,0
"House of Tara, Port Harcourt",Rivers,School,0
Supreme Education Foundation School,Lagos,College,0
Purplebox Cake Art,Oyo,,0
In\Exteriors Decor,Lagos,Art gallery,0
"Saint Agnes Catholic Church, Maryland",Lagos,Place of worship,0
"St Finbarr's College, Akoka",Lagos,School,0
CC Interiors,Lagos,,0
Federal College of Education (Technical),Lagos,College,0
MitiMeth Handicrafts,Lagos,,0
Ikoyi Cemetery,Lagos,Cemetry,0
Vaults and Gardens,Lagos,Cemetry,0
Holy Child College,Lagos,School,0
Ivy Arts International,Lagos,Art gallery,0
Atan Cemetery,Lagos,Cemetry,0
Medical ART Center,Lagos,,0
Semo Art Gallery,Edo,Art gallery,0
Dagrand Arts and Craft,Lagos,,0
"National Orthopaedic Hospital, Dala-Kano",Kano,Hospital,173
Dabara Arts,Kaduna,,0
Murtala Muhammed Specialist Hospital,Lagos,Hospital,166
CityLink Marine,Lagos,Terminal,0
Lagos State Ferry,Lagos,Terminal,0
Texas Connection Ferries,Lagos,,0
Rosellas Amusement Park,Lagos,Park,0
Tarzan Marine,Lagos,,0
TheLagosParty Cruise and Tours,Lagos,,0
3nity Foods,Rivers,,0
Grand Towers Abuja Mall,Abuja,Mall,0
NEXT Cash N’ Carry,Abuja,Shop,0
Silver-Fountain Medical Center,Abuja,Hospital,251
St. Francois Medical Centre,Lagos,Hospital,227
"Crunchies Fried Chicken, Bayelsa",Bayelsa,Restaurant,1
Aridolf Resort Wellness and Spa,Bayelsa,"Spas, Saunas and Wellness centre",0
Bayelsa Ferry Terminal and Resorts,Bayelsa,Terminal,0
"Peace Park, Bayelsa",Bayelsa,Resort,0
Port Harcourt Golf Club,Rivers,Sport arena,257
Rayfield Golf Club,Plateau,Sport arena,0
Pandam Wildlife Park,Plateau,Game reserve,0
Gabo Escarpment Nature Reserve,Kogi,Game reserve,0
Afi Mountain Wildlife Sanctuary,Cross River,Game reserve,1
Akure Forest Reserve,Ondo,Game reserve,1
The Ambassadors Schools,Ogun,School,0
Iganmode Grammar School,Ogun,School,0
Ace Medicare Clinics,Ogun,Hospital,174
Faith Specialist Hospital,Ogun,Hospital,193
"St. Peter Catholic Church, Ota",Ogun,Place of worship,0
Reverend Kuti Memorial Grammar School,Ogun,School,0
Abia State University Teaching Hospital,Abia,Hospital,178
Ariaria International Market,Abia,Market,1
"Our Lady of Apostles Secondary School, Ijebu-Ode",Ogun,School,3
Aba Town Hall,Abia,Town Hall,0
Abakaliki Golf Club,Ebonyi,Sport arena,0
Ogun State NYSC Secretariat,Ogun,Government Building,0
Ebonyi State University,Ebonyi,University,0
Lagos State NYSC Secretariat,Lagos,Government Building,2
"Nysc Secretariat, Abakaliki",Ebonyi,Government Building,0
Abia State NYSC Secretariat,Abia,Government Building,0
"National Obstetric Fistula Centre, Abakaliki",Ebonyi,Hospital,155
Adamawa State NYSC Secretariat,Adamawa,Government Building,0
Federal Teaching Hospital Abakaliki,Ebonyi,Hospital,0
Akwa Ibom NYSC Secretariat,Akwa Ibom,Government Building,0
Imo State NYSC Secretariat,Imo,Government Building,0
Abuja State NYSC Secretariat,Abuja,Government Building,0
Enugu State NYSC Secretariat,Enugu,Government Building,0
Abeokuta Golf Club,Ogun,Sport arena,3
Olusegun Obasanjo Cinema House,Ogun,Cinema Hall,0
Cross River State NYSC Secretariat,Cross River,Government Building,0
DLK Events Centre,Ogun,Hall,0
Delta State NYSC Secretariat,Delta,Government Building,0
Mariam Babangida Park,Ogun,Park,0
Edo State NYSC Secretariat,Edo,Government Building,0
June 12 Cultural Centre,Ogun,Cultural centre,0
Kuto Park,Ogun,Park,0
Ebonyi State NYSC Secretariat,Ebonyi,Government Building,0
Alhaji Ayeni Shopping Complex,Ogun,Mall,0
Ogun State High court,Ogun,Government Building,0
Ekiti State NYSC Secretariat,Ekiti,Government Building,1
Ogun State Hospital Management Board (General Hospital),Ogun,Building,0
Kaduna State NYSC Secretariat,Kaduna,Government Building,0
South Local Government Clinic,Ogun,Hospital,0
Kano State NYSC Secretariat,Kano,Government Building,1
Katsina State NYSC Secretariat,Katsina,Government Building,2
Kogi State NYSC Secretariat,Kogi,Government Building,0
Kwara State NYSC Secretariat,Kwara,Government Building,0
Air Assault Golf Course,Rivers,Sport arena,557
Ondo State NYSC Secretariat,Ondo,Government Building,1
Custodian House,Lagos,Building,0
"Nigerian Air Force Base, Port Harcourt",Rivers,Government Building,755
Kwiambana Forest Reserve,Zamfara,Game reserve,0
Ibadan Civil Centre,Oyo,Hall,0
Plateau State NYSC Secretariat,Plateau,Government Building,0
Rivers State NYSC Secretariat,Rivers,Government Building,818
Dutse International Airport,Jigawa,Airport,0
Sokoto State NYSC Secretariat,Sokoto,Government Building,0
Taraba State NYSC Secretariat,Taraba,Government Building,1
Wawan Rafi Resort,Jigawa,Resort,0
Amaryawa Rock Range,Jigawa,,0
Gwaram Ruins,Jigawa,,0
"Federal Government College, Port Harcourt",Rivers,School,405
"Federal Government College, Warri",Delta,School,0
Tomb of Capatin Philips,Jigawa,,0
"Federal Government College, Ikot Ekpene",Akwa Ibom,School,0
"Federal Government College, Ogbomoso",Oyo,School,0
Churchgate Towers,Lagos,Building,0
"SPAR, Lekki",Lagos,Shop,0
"Federal Government College, Enugu",Enugu,School,120
"SPAR, Victoria Island",Lagos,Shop,0
"Federal Government College, Lagos",Lagos,School,0
"Obio Cottage Hospital, Port Harcourt",Rivers,Hospital,162
Moshood Abiola Polytechnic,Ogun,College,0
Yakubu Gowon Airport,Plateau,Airport,0
Port Harcourt Barracks,Rivers,Government Building,380
Kaduna Airport,Kaduna,Airport,1
Maiduguri International Airport,Borno,Airport,0
NAOWA Skill Acquisition Centre,Rivers,School,0
The Grail Centre,Rivers,Place of worship,0
Akure Airport,Ondo,Airport,0
Bauchi Airport,Bauchi,Airport,1
Benin Airport,Edo,Airport,0
"Federal Polytechnic, Ede",Osun,College,0
"The Polytechnic, Ile-Ife",Osun,College,0
Ahmadu Bello International Airport,Kebbi,Airport,0
Welldone Supermarket,Rivers,Shop,0
Holy Trinity Catholic Church,Abuja,Place of worship,0
Ibadan Airport,Oyo,Airport,0
Holy Rosary Catholic Church,Abuja,Place of worship,0
Our Lady Queen of Nigeria Pro-Cathedral,Abuja,Place of worship,0
St. Martin Catholic Church,Abuja,Place of worship,0
Pabod Farms,Rivers,,0
Apostolic Nunciature,Abuja,Place of worship,0
Vesa Sport,Rivers,,0
Umaru Musa Yar'Adua Airport,Katsina,Airport,1
Makurdi Airport,Benue,Airport,1
Minna Airport,Niger,Airport,0
"Peace Park, Port Harcourt",Rivers,Park,721
Warri Airport,Delta,Airport,0
St Mary's Catholic Model School,Rivers,School,269
Zaria Airport,Kaduna,Airport,0
Wesley Methodist Church,Rivers,Place of worship,610
Nigerian College Of Aviation Technology,Kaduna,School,0
Ebony Hospital,Rivers,Hospital,134
"Port Harcourt Polytechnic, Rumuola",Rivers,University,781
National Research Institute For Chemical Technology,Kaduna,Government Building,0
Stella Maris College,Rivers,School,321
Nigerian Institute For Transport Technology,Kaduna,School,0
National Agricultural Extension and Research Liaison Services,Kaduna,Government Building,0
Our Lady of Perpetual Help Catholic Church,Lagos,Place of worship,0
Regina Mundi Catholic Church,Lagos,Place of worship,0
Arsenal Golf Club,Imo,Sport arena,0
Regina Mundi Catholic Hospital,Lagos,Hospital,130
"Federal Polytechnic, Nekede",Imo,School,0
"St. Augustine Catholic Chaplaincy, Akoka",Lagos,Place of worship,0
Lagos State Government Secretariat,Lagos,Government Building,0
Saint Leo Catholic Church,Lagos,Place of worship,0
Abia State Government House,Abia,Government Building,0
Our Lady Queen of Peace Catholic Church,Lagos,Place of worship,0
Ibori Golf and Country Club,Delta,Sport arena,0
Delta State House Of Assembly,Delta,Government Building,0
SS Mulumba and David Catholic Church,Lagos,Place of worship,0
Pinkapple Beauty Salon and Spa,Delta,Salon,1
De orange kitchen,Delta,Restaurant,0
Church of the Assumption,Lagos,Place of worship,0
"Delta State University, Anwai Campus",Delta,University,0
