Places,Location,Category,Likes_oount
Millennium Tower,Abuja,Monument,314
National Assembly Complex,Abuja,Government Building,227
Abuja International Conference Center,Abuja,Hall,194
Central Bank of Nigeria Headquarters,Abuja,Government Building,132
"National Library of Nigeria, Ibadan",Oyo,Library,5
Slave History Museum,Cross River,Museum,0
Freddy's Restaurant,Cross River,Restaurant,0
Tinapa Business and Leisure Complex,Cross River,Mall,0
Summit Hills,Cross River,Monument,0
Lakowe Lakes Golf and Country Estate (Members Only),Lagos,Sport arena,229
Ikoyi Club 1938,Lagos,Club,103
Club 57,Lagos,Club,150
Saffron Restaurant and Lounge,Lagos,Restaurant,154
Pearl Garden,Lagos,Restaurant,228
IITA Forest,Oyo,Game reserve,3
"Eden Parks and Gardens, Abuja",Abuja,Park,323
Agodi Park,Oyo,Park,0
XO Lifestyle,Abuja,Club,281
Ceddi Plaza,Abuja,Mall,348
Thought Pyramid Art Center,Abuja,Art gallery,204
"Bheerhugz Cafe, Ikeja",Lagos,Lounge,378
Rhapsody's Ikeja,Lagos,Lounge,297
Lekki-Ikoyi Link Bridge,Lagos,Monument,300
Eko Bridge,Lagos,Monument,375
Carter Bridge,Lagos,Monument,298
Kalakuta Museum,Lagos,Museum,0
Badagry Heritage Museum,Lagos,Museum,409
Sawadee Oriental Cuisine,Abuja,Restaurant,163
Golden Gate Restaurant,Lagos,Restaurant,241
Lagos Central Mosque,Lagos,Place of worship,265
"City Hall, Lagos",Lagos,Hall,403
Murtala Muhammed Airport,Lagos,Airport,476
Holy Cross Cathedral,Lagos,Place of worship,270
Lagos Motorboat Club (Members Only),Lagos,Club,261
Club Uno,Lagos,Club,241
The Kingsize Place,Lagos,Lounge,254
Unilag Lagoon Front,Lagos,Open arena,257
Underground Bakery,Lagos,Bakery,81
Afi Bakery,Lagos,Bakery,141
Old Oyo National Park,Oyo,Park,0
Kamuku National Park,Kaduna,Park,0
Victoria Island,Lagos,Town,227
Hotels.ng,Lagos,Building,203
Chad Basin National Park,Borno,Park,0
Lagos Island,Lagos,Town,215
Cocoa House,Oyo,Building,0
University of Ibadan,Oyo,University,1
National Museum of National Unity,Oyo,Museum,1
Mapo Hall,Oyo,Hall,0
Bower's Tower,Oyo,Monument,0
Rayfield Holiday Resort,Plateau,Park,0
AfriOne Café,Plateau,Restaurant,0
Ani Ozalla Lake and Shrine,Enugu,Nature,226
Asia Town,Rivers,Restaurant,503
Barracuda Bar,Rivers,Restaurant,284
Blue Elephant Restaurant,Rivers,Restaurant,425
Ember Creek Waterfront,Lagos,Lounge,159
University of Ibadan Zoological garden,Oyo,Zoo,0
Heritage Mall,Oyo,Mall,0
Lisabi Sacred Forest,Ogun,Shrine,1
National Museum Abeokuta,Ogun,Museum,7
Centenary Hall,Ogun,Town Hall,0
Yaba Baptist Church,Lagos,Place of worship,112
Osuuru water spring,Ogun,Waterfall,0
University of Lagos,Lagos,University,314
Obafemi Awolowo University,Osun,University,0
Civic Center,Lagos,Hall,334
Lagos Lagoon,Lagos,Town,205
Eagle Square,Abuja,Open arena,273
Oyan Dam,Ogun,Dam,0
Supreme Court of Nigeria,Abuja,Court,113
Sultan of Sokoto Palace,Sokoto,Palace,0
Emir of Zazzau Palace,Kaduna,Palace,0
Omo Forest Reserve,Ogun,Game reserve,3
Obasanjo Farm,Ogun,Open arena,3
St. Peter Cathedral,Ogun,Place of worship,0
Commint Buka,Lagos,Restaurant,116
Lagos Business School,Lagos,University,245
Legacy Railway Museum,Lagos,Museum,190
The Osh Gallery,Lagos,Art gallery,246
Mydrim Gallery,Lagos,Art gallery,205
Tickle Bay,Lagos,Play ground,200
One 77 Lagos,Lagos,Restaurant,66
Cakes and Cream,Lagos,Restaurant,139
LeanHUB Library,Lagos,Library,173
Cream Slices,Lagos,Restaurant,96
Medplus Pharmacy,Lagos,Pharmacy,326
University of Ilorin,Kwara,University,1
River Niger Bridge,Anambra,Monument,0
Taiwo Olowo's monument,Lagos,Monument,197
Benin moat,Edo,Nature,0
National Church of Nigeria,Abuja,Place of worship,227
Abuja National Stadium,Abuja,Sport arena,272
E-Center,Lagos,Mall,247
Viva cinema,Kwara,Cinema Hall,0
Dontasha's world,Delta,Building,0
"Fun Factory, Lagos",Lagos,Play ground,334
